	sentence_1	sentences_2	similarity
473	Dva psi běžící společně a jeden má kachní hračku v tlamě.	Černobílý pes jdoucí po trávě s dlouhým klackem v tlamě.	1.8
474	Černobílý pes běží po trávě.	Černo bílý pes plave v modré vodě.	1.4
475	Hokejový brankář ležící na ledu před brankou.	Hokejový hráč leží na ledu před bránou.	4.6
476	Lyžař má na sobě modré oteplovací kalhoty, letí vzduchem poblíž skokánku.	Lyžař stojí na ruce na sněhu před videokamerou.	1.4
477	Hnědý pes běží po travnaté cestě.	Hnědý pes běží po travnatém úseku děleným řetězem.	3.4
478	Dívka má na sobě modré proužkované tričko a kolečkové brusle.	Muž v černobílé košili skákající na psím hřbetu.	0.0
479	Potetovaný muž v černém hrající na bílou kytaru a zpívá.	Žena v černobílém plášti a chrániči sluchu.	0.0
480	Pes běžící po pláži.	Chlapec a dívka běžící po pláži.	1.4
481	Mladý muž a žena sedící venku na lavičce se líbají.	Muž a žena sedící na lavičce se líbají.	4.6
482	Hnědý pes vyskakuje, aby chytil zelený pásek do jeho tlamy.	Šedý pes, skáče, aby skousl zelené vodítko.	3.2
483	Černý pes běží v trávě.	Černohnědý pes běžící v trávě.	3.2
484	Žena sedí na chodníku s mobilním telefonem u ucha.	Žena jede na kole.	0.5
485	Tři psi si hrají v travnatém poli.	Nějaké děti si hrají v poli.	1.2
486	Malý bílý pes přelézá kládu.	Malý pes překračuje kládu.	2.8
487	Mladý chlapec si hraje v jámě s červenými míčky.	Smějící se chlapec leží v jámě s modrými balónky.	3.0
488	Surfař na vlně.	Surfař sjíždí vlnu.	4.4
489	Psi si hrají ve sněhu na zadních nohách.	Dva psi si hrají ve sněhu.	3.8
490	Skateboardista, se dostal na vrchol rampy.	Skateboardista, jede na trubkové zdi ve skateparku.	2.4
491	Dva muži na běžecké soutěži.	Psi v závodě.	1.0
492	Chlapec sjíždí na skateboardu zábradlí na schodech pomalovaných graffiti.	Skateboardista sjíždí dolů po zábradlí na nohách.	2.6
493	Černobílý pes běží vodou.	Černohnědý pes běží polem.	2.0
494	Dvě děti jdou po cestě v lese.	Dvě děti jdoucí po cestě v lese.	5.0
495	Hnědobílý pes běží po trávě.	Béžovočerný pes běží přes trávu.	3.4
496	Žena běží po pláži.	 Pes běží přes pozemek.	1.8
497	Dva psi běží bok po boku po trávě.	Dva psi běžící po trávě.	4.4
498	Dva psi čůrají na červený požární hydrant.	Dva psi močí na červený požární hydrant.	5.0
499	Hráč ragby v tmavě zelené výbavě nese světle zbarvený ragbyový míč napřaženou rukou.	Hnědý pes šplouchá ve vodě, zatímco nese míč v jeho tlamě.	0.4
500	Zlatě zbarvený pes skáče kolem v trávě, zatímco drží klacek v tlamě.	Černý pes běží přes trávu nesoucí něco červeného v tlamě.	2.4
501	Dva lidé jdou nějakou vodou.	Dvě dívky jdou u stromu před cihlovou stavbou.	1.2
502	Dívka běží po pouštní cestě.	Mladá dívka mluví do mobilního telefonu.	0.8
503	Bílý pes si hraje s míčem na pláži.	Černobílý pes si hraje s béžovým psem.	1.6
504	Pes cákající ve vodě.	Pes cáká v kalné vodě.	4.0
505	Muž řídí modrou loď kolem pestrobarevných domů.	Muž řídící modrou loď proplouvající kolem pestrobarevných domů.	5.0
506	Skupina lidí jde po chodníku z velkoměsta.	Skupina lidí jede v zadní části kamionu.	1.0
507	Pes je ve vzduchu nad trávou.	Pes leží na posteli s modrým povlečením.	1.0
508	Žena v černých šatech s červenými doplňky jde na ulici.	Žena v černých šatech jdoucí na ulici.	3.8
509	Černý pes běží přes nějakou vodu.	Muž ve fotbalovém dresu běží s míčem v průběhu hry.	0.0
510	Dívka stojí v metru čekající na něco.	Dívka stojí v temném prostoru.	2.0
511	Dva psi, se k sobě přiblížili v trávě.	Dva psi, stojí proti sobě na trávě.	4.8
512	Muž sedí s malou holčičkou v parku.	 Muž si hraje s chlupatým malým psíkem.	0.6
513	Velký béžový pes běží se zeleným předmětem v tlamě.	Béžový pes nese zelenou pískací hračku v tlamě.	4.4
514	Skupina lidí v lodích závodících ke břehu.	Učebna studentů sledujících prezentaci.	0.0
515	Člověk, který skáče na skateboardu do vzduchu nad rampu.	Motorkář jede podél trati prvku umístěného na zalesněné oblasti.	0.6
516	Chlapec v noci sjíždí na skateboardu kovové zábradlí.	Hnědý pes běží na písku, držící klacek.	0.0
517	Člověk se protahuje otvorem ve skále.	Středně velký hnědý pes běží přes otevřené bílé zalesněné oblasti.	0.0
518	Pes běží směrem k fotoaparátu s míčem v tlamě.	Černobílý pes plave s hnědým objektem v tlamě.	2.0
519	Mladá dívka běžící na pláži.	Malá dívka běžící na břehu pláže.	4.2
520	Hráč baseballu hází míček.	Hráč basketbalu drží míč.	1.6
521	Muž se houpá na laně nad vodou.	Muž v plavkách v barvě kaštanů se houpe na laně na jezeře.	3.0
522	Žena ve velkých slunečních brýlích drží noviny v obou rukách.	Tlustá žena v slabém modrém topu fouká mýdlovou bublinu.	1.0
523	Jelen skáče plot.	Jelen skáče přes plot.	5.0
524	Mladá dívka oblečená v Minnie Mouse oblečení a starší žena jdou po chodníku.	Muž v bílém obleku a s novinami kráčí ulicemi.	1.0
525	Pár psů hrající si s fialovým míčem.	Dva psi si hrají s fialovým fotbalovým míčem.	4.4
526	Pták přistane ve vodě.	Loď plave ve vodě.	0.6
527	Tři děti stojí na plotu nebo v jeho blízkosti.	Tři děti stojí na plotu a u něj.	4.6
528	Černý pes se vynoří z vody s bílým míčem v tlamě.	Černý pes vylézá z vody s bílým míčem v tlamě.	4.8
529	Dívka ve fialovém tričku a v růžové čelence pózuje.	Mladá dívka v klobouku a modrých džínách je na houpačce.	0.4
530	Hnědý pes kope díru před rostlinou.	Skupina lidí jdoucí podél železniční trati.	0.0
531	Hnědobílý pes plave v bazénu.	Hnědobílý pes plave v bazénu na dvorku.	4.6
532	Dva šedí psi běží spolu přes zelený trávník.	Dva šedí psi běhají na zeleném trávníku.	4.6
533	Chlapec sjíždí kopec na červených sáňkách.	Mnohobarevný pes s červeným obojkem se krčí v trávě.	0.0
534	Dva psi si hrají v trávě.	Dva psi si hrají ve sněhu.	2.8
535	Černo hnědý pes běží lesem.	Pes běží lesem.	4.0
536	Dva psi běží na trávě.	Dva psi si hrají v trávě.	4.4
537	Dva psi běží na travnaté ploše.	Dva psi běží přes travnatou plochu.	5.0
538	Pár sedící na zahradní židli v blízkosti vody.	Chlapec v parku skáče z jednoho piknikového stolu na druhý.	0.0
539	Tři lidé sedí u piknikového stolu před budovou natřenou jako Union Jack.	Tři lidé sedí u venkovního stolu před budovou natřenou jako Union Jack.	4.8
540	Mladá dívka vztyčí znamení míru.	Holčička se na ulici drží tyče.	0.6
541	Muž visí na laně z útesu nad vodou.	Muž sedící sám na molu s lahví vody.	0.6
542	Muž se krčí a drží kameru.	Krčící se muž drží velkou kameru.	4.6
543	Muž na kole sjíždí úzkou cestu.	Muž na jednokolce sjíždí zpevněnou cestu.	2.6
544	Muž v oranžovém kabátu mluví na druhého muže, zatímco procházejí sněhem.	Muž a žena ve staromódním oblečení sedí venku u stolu.	0.6
545	Pes plave přes vodu.	Pes s pláštěnkou běží sněhem.	1.4
546	Německý ovčák skáče skrz černou obruč, zatímco se lidé koukají.	Pes skáče skrz obruč.	3.2
547	Pes skáče do vzduchu, aby chytil hračku.	Černý pes, skočí do vzduchu, aby chytil hračku.	4.0
548	Mladá smějící se dívka a chlapec hrají na velký buben.	Mladá dívka a malý chlapec stojí u kytary a bubnu.	2.4
549	Hnědý pes leží na modré přikrývce.	Člověk se potápí v průzračně modré vodě.	0.0
550	Dva chlapci hrající si na hřišti.	Dva lidé mají hlavy pokryté šátky.	0.0
551	Hnědý pes běží na sněhu se sněhovou koulí v tlamě.	Čtyři psi si hrají na sněhu s panoramou města za nimi.	1.8
552	Skupina lidí stojí na ulici.	Žena oslovující rozmanitou skupinu lidí stojící na ulici.	2.6
553	Pes běží na hnědé trávě.	Mokrý pes s tenisákem běží přes žlutou trávu.	2.2
554	Dva psi běží přes trávu.	Tři psi běží ve sněhu.	2.2
555	Muž a dva mladí kluci skáčou na trampolíně.	Muž a dva kluci skáčou na trampolíně.	4.6
556	Muž sedící na veřejnosti jí jablko.	Muž na veřejném prostranství jí jablko.	5.0
557	Chlapec se zlomenou rukou odpočívá v posteli.	Chlapec se zlomenou rukou spí.	4.0
558	Chlapec dělá triky na skateboardu.	Chlapec dělá trik na skateboardu.	4.8
559	Dvě mladé dívky v trávě se navzájem objímají.	Dvě mladé dívky na travnatém terénu se navzájem drží.	4.6
560	Dva bílí psi prochází skrz hluboký bílý sníh.	Dva bílí psi prochází skrz obrovský násep horského sněhu.	4.6
561	Čtyři dívky v plavkách hrají volejbal na pláži.	Čtyři ženy v bikinách hrají volejbal na pláži.	4.8
562	Pták letí přes vodu.	Pták letí nad vodou.	4.8
563	Pes běží přes rybník.	Bledý pes běží po prašné cestě.	1.4
564	Tři psi hrající si ve sněhu.	Tři psi si hrají ve vodě.	2.6
565	Holčička s mašlí ve vlasech si vybírá nos.	Holčička s helmou ve fialovém tričku jede na koloběžce.	1.2
566	Muž a žena sledují dva psy.	Muž v kaštanovém koupacím obleku se houpe na laně na jezeře.	0.4
567	Muž sedící v doku kouká na vodu.	Muž skáče ze skály do vody.	1.33
568	Mladá dívka se klouže na klouzačce.	Mladá dívka se houpe na houpačce z pneumatiky.	1.8
569	Mnoho lidí je v cyklistickém závodu, včetně muže na tříkolce.	Muž jede na tříkolovém vozíku.	2.6
570	Skupina lidí nosí králičí uši.	Skupina lidí jede závod.	0.8
571	Pes v tričku se supermanem spí na dece.	Hnědý pes v tričku se supermanem leží na modré dece.	4.0
572	Hnědobílý pes běží sněhem.	Hnědobílý pes běží po trávě.	2.4
573	Bílo hnědý pes běží přes trávu.	Hnědobílý pes běží přes trávu.	4.8
574	Muž a žena stojí před budovou.	Dvě dívky sedí na ATV na písku před mostem.	0.4
575	Hnědý pes dává odpočinout svým tlapám na klávesnici notebooku.	Pes i se svými tlapami sedí na notebooku.	3.8
576	Mladá dívka s brýlemi sedí a drží dvě Americké vlajky.	Dívka v brýlích se dívá přes dvě Americké vlajky poblíž zalesněné oblasti.	2.6
577	Malý bílo hnědý pes skáče přes vodorovnou tyč.	Hnědobílý pes skáče přes červenožlutou tyč.	3.0
578	Dva psi běží přes travnatou plochu.	Dva psi běží přes travnaté pole.	4.8
579	Děti si hrají s míčem v parku.	Dva psi si hrají na břehu.	0.6
580	Muž se houpe na laně nad vodou.	Muž v teplém oblečení se v noci houpe na prolézačkách.	1.6
581	Muž ve fraku jede na kole po zpevněné cestě.	Muž pomocí velké tyče odstraňuje písmena ze značky.	0.2
582	Dva Asiati a dvě Asiatky sedí v černých masážních křeslech.	Dva Asiati a jedna žena relaxují v masážních křeslech.	4.6
583	Černobílý pes běží v travnaté zahradě obklopené bílým plotem.	Černobílý pes skáče přes překážky.	2.2
584	Skupina turistů, odpočívá před horou.	Několik turistů s jejich vybavením odpočívá před horou.	4.8
585	Dívka si hraje v hromadě barevných míčků.	Holčička si hraje v díře plné barevných míčků.	5.0
586	Starší muž stojí venku před nákladním autem.	Žena oblečená v zeleném jezdí venku na kolečkových bruslích na nějaké akci.	0.0
587	Usmívající se muž s reflexními brýlemi.	Gentleman se usmívá a ukazuje jeho reflexní sluneční brýle.	4.6
588	Pět lidí stojí na chodníku.	Pět lidí na chodníku.	4.8
589	Dvě dívky v modrých a zelenomodrých šatech s velkými klobouky stojí vedle velkého kmene stromu.	Žena, malý chlapec a malé dítě stojí před sochou krávy.	1.2
590	Bílý pes běží přes sníh.	Bílý medvěd jde po sněhem pokryté zemi a vrhá stín do sněhu.	1.4
591	Mladý kluk, v hnědé bundě si hraje se sněhem.	Dva psi si hrají ve sněhu.	1.2
592	Tři delfíni skáčou v bazénu, před davem lidí.	Muž prezentuje před mnoha lidmi.	0.6
593	Muž zvedá velký kámen.	Žena zvedá velký kámen.	2.4
594	Bílo hnědý pes běží přes trávu.	Hnědobílý pes běží napříč trávou.	4.6
595	Pes běží přes pole.	Pes běhá přes pole.	4.8
596	Černobílý pes skáče do vody.	Bílý pes běží přes vodu.	2.8
597	Muž nese krabici s nářadím po chodníku.	Žena jede na modrém kole v parku.	0.0
598	"Muž v tričku s nápisem ""Gigolo"" stojí u pultu a s někým mluví."	"Muž v tričku s nápisem ""Gigolo"" stojí na recepci zády ke kameře."	3.4
599	Stan a kemp v prosluněném lese.	Bílý pes na pláži nese klacek v tlamě.	0.0
600	Dva velcí psi běží v nějaké trávě.	Dva žíhaní psi běží v trávě.	4.2
601	Pes plave s klackem v tlamě.	Pes běží s klackem v tlamě.	2.6
602	Žena spí v sedu, s hlavou opřenou o ruku.	Muž, který odpočívá s hlavou položenou na ruce.	2.2
603	Mladý chlapec skákající do jezera.	Chlapec skáče do jezera.	4.6
604	Muž aportuje se dvěma hnědými psi.	Žena si hraje s hnědým psem.	2.33
605	Žluto hnědo bílý pes získává míček na štěrkové cestě.	Velký pes jde v lese po štěrkové cestě.	2.0
606	Pes běží přes písek s klackem v tlamě.	Pes běží skrz potok s klackem v tlamě.	3.6
607	Muž stojí ve vodě poblíž vodopádu.	Muž se brodí ve vodě a sleduje padající vodu.	3.4
608	Černý pes honí dva ptáky na břehu oceánu.	Pes běží podél pláže vedle oceánu.	2.6
609	Muž a žena na lavičce.	Muž a žena sedí v parku na lavičce.	3.6
610	Žluto hnědý pes vyskočí chytit tenisový míček.	Červený pes skočí a chytí tenisový míček do tlamy.	3.0
611	Muž skáče do vody.	Muž je ve vzduchu.	2.4
612	Žena v černém triku stojí před banány u stánku s ovocem.	Žena oblečená v černém stojí před dodávkou.	2.4
613	Dítě skáče do bazénu.	Pes skákající do bazénu.	1.2
614	Malý chlapec skákající z židle na židli.	Mladý chlapec skákající z židle na židli v jeho domě.	4.8
615	Dívka v jezeře švihá s jejími dlouhými, mokrými vlasy.	Osoba jedoucí na špinavém kole.	0.0
616	Dva psi hrající si na pobřeží.	Dva psi hrající si ve sněhu.	2.8
617	Holčička chodí po promenádě s modrými kupolemi v pozadí.	Muž přejíždí překážku na kole s řekou v pozadí.	0.0
618	Hnědobílý pes zanechává ve sněhu stopy.	Černobílý pes skotačí ve sněhu.	2.6
619	Hnědý pes leží na modrém prostěradle.	Hnědý pes a dva černí psi v zarostlé travnaté ploše.	0.8
620	Dvě ženy sedící na lavičce, mají zakryté tváře, jedna žena drží nafukovacího tygra a druhá má kostým Sněhurky od Disneyho.	Dívka sedí na lavičce a drží nafukovacího tygra, sedí vedle jiné dívky v barevném oblečení.	2.2
621	Chlap a dvě dívky se usmívají do kamery.	Tři psi, jeden bílý a dva hnědí běží společně po travnatém poli.	0.0
622	Pes plavající s klackem v tlamě.	Pes plavající ve vodě s klackem v tlamě.	5.0
623	Černý pudl si hraje ve sněhu.	Černý pudl skotačí ve sněhu.	5.0
624	Dvě dívky držící leták strašidelného filmu.	Dvě dívky držící pytle stojí v poli.	1.4
625	Tři chlapci hrající hru běží po pláži.	Dva mladí chlapci a jeden mladý muž běží po pláži s vodou za nimi.	3.2
626	Dívka má na sobě oblečenou fialovou šerpu sladěnou se sukní.	Skupina dívek stojí oblečené v džínových sukních a tričkách se supermanem.	1.6
627	Dva psi bojující ve sněhu.	Dva psi stojící ve sněhu.	2.4
628	Muž a dva mladí chlapci skáčou na trampolíně.	Muž a dva chlapci se odrážejí na trampolíně.	4.8
629	Muž oblečený v šedé bundě stojící na straně ulice.	Chlapec oblečený v modré záchranné vestě se drží na straně zelené lodě.	0.6
630	Hnědočerný pes skáče, aby chytil červený míč.	Hnědočerný pes, skáče, pro červený míč.	5.0
631	Žlutohnědý pes běží přes listy.	Bílý pes běží přes oceán.	1.8
632	Bíločerný pes skáče do bazénu.	Žena v černé zástěře stojí před zrcadlem.	0.0
633	Černobílý pes nese klacek v tlamě.	Černobílý pes, má klacek v tlapách.	3.0
634	Jelen skáče přes plot.	Jelen skákající přes plot.	5.0
635	Malé děvče drží dřevěný klacek.	Malé děvče plavající v bazénu.	2.2
636	Černý pes skáče přes vodu.	Pes jde přes sníh.	2.4
637	Skupina lidí před červeným hasičským vozem.	Skupina lidí stojí okolo červeného hasičského vozu.	4.2
638	Chlapec skočí do modré bazénové vody.	Mladý chlapec skáče do bazénu po břiše.	3.4
639	Zlatosrstý pes ve sněhu chytá míček do tlamy.	Malá blondýnka sedí na zelené židli.	0.0
640	Tři děti se smějí a hrají si na podlaze.	Tři děti hrající si na podlaze.	3.8
641	Muž s rybářskými pruty sedí v blízkosti vodního toku.	 Muž sedí na kameni vedle skládacího sedátka a rybářského prutu.	3.4
642	Žena a pes stojící v trávě.	Muž drží znak, zatímco stojí v dešti.	0.0
643	Muž v modrém tričku běhá na stadionu.	Muž v modrém klobouku a tričku jede na bílém koni.	1.0
644	Žena v černo oranžové bundě hází klacek hnědočernému psu jako aport.	Muž v modré bundě stojí v davu.	0.0
645	Černý pes běžící vodou.	Černý pes běží nějakou vodou.	4.8
646	Děti skákající na trampolíně.	Muž sjíždí oranžovou skluzavku.	0.0
647	Velký hnědý pes se krčí v travnatém poli.	Hnědý pes běží v poli.	3.0
648	Muž cvičící box.	Muž cvičí box.	5.0
649	Pes běží trávou.	Pes běží sněhem.	2.2
650	Dívka s modrým kýblem cáká pod molem.	Dívka v lyžařské bundě jde poblíž budov.	0.4
651	Lyžař sviští sněhem.	Hnědý pes nesoucí létající talíř běží sněhem.	0.2
652	Dva lidi na golfovém kurzu hrají golf.	Dva lidi jsou na golfovém kurzu a hrají golf.	5.0
653	Chlapec a dívka si hrají na pláži.	Pes hrající si ve vlnách s míčem.	0.8
654	Pes běžící přes sníh se sněhovou koulí v tlamě.	Žlutohnědý pes běží trávou se žlutou hračkou v tlamě.	2.4
655	Dítě v červeném kabátu leží na červené podložce.	Batole je připravené vylézt na kus červeného vybavení.	0.8
656	Dva psi si hrají v trávě.	Dva psi hrající si v trávě.	5.0
657	Skupina lidí dávající pozor na vodu stojí v písku.	Skupina lidí stojí na pláži před nějakými loděmi.	3.2
658	Dítě v modrobílém dresu běží za fotbalovým míčem.	Mladý chlapec v modrém fotbalovém dresu běží za míčem.	4.0
659	Hráč softbalu odpalující na hřišti.	Hráč baseballu trefující míček.	2.8
660	Černý pes běží za bílým psem ve sněhu.	Černý pes pronásleduje hnědého psa sněhem.	1.8
661	Muž ujíždí na kitesurfu pryč od kamery.	Muž dělá skysurfing na vodě.	2.8
662	Malý kluk staví nějaké dřevěné bloky.	Malý kluk s modrým trikem kupí dřevěné bloky.	4.0
663	Černý pes běží v trávě.	Chlapec běžící skrz zelenou trávu.	1.0
664	Malý chlapec a malá dívka hrající si spolu venku.	Mladý chlapec a mladá dívka jdoucí naproti sobě.	2.0
665	Dva lidé sedí na konci doku.	Dva lidé sedící v doku.	4.2
666	Dva psi na dvorku.	Dva psi v potoce.	2.0
667	Muž pronásledoval psa snažícího se dostat skrz plot na hřiště.	Muž, pronásleduje svého černobílého psa na překážkové dráze.	2.2
668	Velký hnědobílý pes běží sněhem.	Bernardýn běžící zasněženým polem.	4.0
669	Malý bílý pes běžící přes trávník.	Běžící malý bílý pes.	3.2
670	Bílo hnědý pes rychle běží skrz trávu.	Velký bílý pes běží v trávě.	3.4
671	Krvavý muž a žena pózují pro obraz.	Muž a teple oblečená žena pózují pro obraz.	2.0
672	Muž a žena jdou s bílým psem na vodítku.	Muž, žena a pes jdou po zpevněné cestě.	4.0
673	Žlutý pes si hraje na travnaté ploše nedaleko kytek.	Dívka se houpe na houpačce.	0.4
674	Chlapec si hraje s nudlí u bazénu.	Chlapec si hraje s pěnovou nudlovou hračkou u bazénu.	4.6
675	Dva velcí hnědí psi běžící sněhem.	Hnědý pes běžící trávou.	2.0
676	Mladý chlapec skáče do bazénu s roztaženýma rukama.	Pes skáče do bazénu na dvorku.	1.2
677	Dívka drží žlutý balónek ve tvaru zvířete.	Dítě drží žlutý balónek.	4.0
678	Dva psi se dělí o hračku v poli vegetace.	Dva snowboardisté jsou ve vzduchu nad sněhem.	0.17
679	Černý pes běží v trávě.	Černý pes běží skrz trávu.	4.8
680	Blondýna v bílém pózuje pro kameru.	Černobílý pes běží s otevřenou tlamou.	0.0
681	Pes běží skrz pole a pronásleduje míč.	Dítě běží skrz trávu.	0.2
682	Dvě dívky sedí před sochou.	Dvě blondýny sedí vedle sochy.	3.8
683	Mladý chlapec v červeném zimním kabátu drží a jí tyčinku.	Mladý chlapec v červeném kabátu jí čokoládovou tyčinku.	4.0
684	Dívka v oranžovém zapaluje svíčku.	Dívka v oranžovém tričku zapaluje svíčku.	4.0
685	Bílý pes běží skrz pole žlutých kytek.	Pes s červeným obojkem běží uprostřed zimy v lese.	1.6
686	Nemluvně sedící na lůžku se se natahuje, aby se dotklo obličeje staršího chlapce.	Obličeje nemocně vypadajícího chlapce, se dotklo batole.	2.2
687	Pes setřásající vodu.	Pes setřásá vodu.	5.0
688	Mladý chlapec běžící po chodníku.	Černý pes běžící podél oceánu.	0.5
689	Mladé dítě, se klouže po oranžové skluzavce.	Malý chlapec v džínové kombinéze se klouže po oranžové skluzavce.	3.67
690	Černobílý pes běžící mezi nějakými červenobílými stožáry.	Černobílý pes stojící na zadních nohách v obýváku.	1.6
691	Tři jednotlivci na lyžích pózují za cedulí s nápisem zákaz lyžování.	Tři lidé na lyžích stojí za cedulí s nápisem zákaz lyžování.	4.4
692	Muž v bílém obleku jde ulicí držící noviny.	Muž v bílém obleku jde venku držící noviny.	4.6
693	Černobílý pes plavoucí v čisté vodě.	Malý černobílý pes plave ve vodě.	4.2
694	Dva závodní psi, běží v blátě.	Muž jde do vody.	0.0
695	Mladý chlapec skákající do bazénu, kde je zákaz skákání.	Chlapec skáče do bazénu, zatímco plavčík dává pozor.	3.2
696	Černý pes s modrým obojkem běží ve sněhu.	Černý pes v modrém obojku běží sněhem.	5.0
697	Černobílý pes běžící vodou.	Černobílý pes běžící trávou.	2.6
698	Pes běží naproti kameře.	Hnědobílý pes běžící na trávě.	0.8
699	Tři psi běžící v blátě.	Žlutý pes běží po blátivé cestě.	1.4
700	Chlapec houpající se na houpačce.	Dívka je na houpačce.	2.4
701	Skupinka mladíků plave v jezeře.	Mnoho dětí si hraje a plave ve vodě.	4.4
702	Modrý a bílý fotbalový tým hrající proti sobě.	Žena nahoře bez s namalovaným obličejem je pokrytá blátem.	0.0
703	Dva psi běžící ve sněhu.	Pes ležící ve sněhu.	2.2
704	Zlatý pes běží sněhem.	Smečka psího spřežení táhnoucí sáně městem.	1.4
705	Hnědý pes se chystá chytit zelený létající talíř.	Hnědý pes čeká, až zelený létající talíř klesne, aby ho mohl chytit.	3.8
706	Skateboardista na ulici ve městě.	Skateboardista ve vzduchu na velké, venkovní rampě.	2.6
707	Čtyři děti na stoličkách u večeře.	Čtyři děti sedí na vysokých barových stoličkách u žlutošedého baru.	3.6
708	Chlapec a bílý pes běžící v travnatém poli.	Chlapec a pes běžící na trávě.	4.4
709	Černobílý pes plave ve velkém zeleném jezeře.	Černý pes rychle běží v mělké vodě.	2.2
710	Dva velcí psi si hrají v travnatém poli.	Dva bílí psi společně běží.	2.2
711	Dva chlapci hrající hru s fotbalovými vlajkami.	Dva chlapci hrají hru s fotbalovými vlajkami.	5.0
712	Hnědočerný pes sprintuje přes sníh.	Černý pes rychle běží po zemi.	2.8
713	Muž s batohem se dívá doleva.	Dospělý muž s batohem jde a dívá se doleva.	3.8
714	Starší muž v modrém tričku drží umělecké plátno.	Černoch jde ve velkém městě vedle budovy.	0.0
715	Dva hubení chlapci hrající si s pískem ve vodě.	Dva psi oklepávají vodu.	0.4
716	Černobílý pes má doširoka otevřenou tlamu.	Černobílý pes, skáče do sněhu.	1.8
717	Malý pes běží přes překážkovou dráhu.	Malý pes skákající přes překážku.	3.8
718	Dívka skáče v skákacím hradě.	Dívka v kostýmu tancuje jako muž.	1.2
719	Hnědý pes běžící skrz les.	Hnědý pes běží skrz trávu.	3.2
720	Skupina lidí stojí u okna a něco sleduje.	Skupina lidí stojí a čeká, až něco uvidí.	3.4
721	Pes skáče přes překážku na soutěži hbitosti.	Pes skákající přes překážkovou dráhu.	4.4
722	Tři závodící lidi na bruslích.	Tři bruslaři za rohem.	3.2
723	Bílý a černý chlapec stojí a mají ruce okolo toho druhého.	Dva mladí chlapci, jeden bílý a jeden černý, stojí a objímají se.	4.8
724	Dvě soutěžící provádí jejich psi na psí show.	Dvě ženy provádí jejích psi na psí show.	4.8
725	Dva muži na straně člunu.	Muž s dlouhými vlasy a s bradkou leží v trávě.	0.0
726	Hnědobílý pes chytá tenisák stojící na zadních nohách.	Hnědobílý pes nese klacek v tlamě.	1.8
727	Hnědý pes v běhu na trávě.	Hnědý pes běží trávou.	4.8
728	Mokrý černý pes s červeným obojkem je v řece.	Černý pes s červeným obojkem brodící se vodou.	4.0
729	Člověk jede na kole po stezce vedle lesa.	Malé dítě v žlutém tričku drží ruce na bocích.	0.4
730	Žena v černých šatech se usmívá před stříbrným nákladním autem.	Dívka oblečená v černém topu se usmívá a za ní je stříbrné nákladní auto.	3.6
731	Dívka hrající si v louži s bosýma nohama.	Dítě si hraje se dvěma bílými a černými husami.	0.6
732	Dva lidé se procházejí u oceánu.	Dva muži v ovčí vlně a v kloboucích dívající se do kamery.	0.4
733	Dvě malé dívky v růžové tancují.	Dvě dámy běžící pro zdraví na cestě v blízkosti nábřeží.	0.0
734	Dvě děti cákající ve vodě.	Dva delfíni skákající do vody.	1.4
735	Pes je na pláži kousek od míče.	Chlap jde na basketbalové hřiště dočasně vyřazené z provozu.	0.6
736	Pes skáče přes hnědou trávu.	Dva psi skáčou přes trávu.	2.6
737	Žena hrající si se dvěma chlapci v parku.	Žena a tři děti si hrají v parku.	3.2
738	Pes se vynořuje z vody s klackem v tlamě.	Pes běží naproti kameře s klackem v tlamě.	2.4
739	Tři psi hrající si ve sněhu.	Chlapec si hraje v písku.	0.8
740	Žena v džínách hraje video hru před velkou obrazovkou.	Muž a žena pózují pro fotografa před postelí posypanou žlutými květinami.	0.4
741	Dva lidé jdoucí po pobřeží při západu slunce.	Dva lidé jdoucí po pláží při západu slunce, aby varovali skupinu lidí.	3.0
742	Muž v obleku tancuje s mladou dívkou před publikem.	Žena visí na modré látce, která drží na stromu.	0.2
743	Tři děti hrající si na podlaze s hračkami.	Tři děti sedící na podlaze hrající si s několika hračkami.	4.2
744	Pes nese vodítko v tlamě.	Načechraný pes nese černé vodítko v tlamě.	4.2
745	Muž v džínách si hraje s míčem, zatímco žena stojící poblíž se dívá pryč.	Muž váže červenou pásku okolo ruky jiného muže na ulici.	0.0
746	Černý pes běží sněhem.	Černohnědý pes běží sněhem.	4.0
747	Žena v růžových bikinách leží na lehátku přikrytém růžovým ručníkem.	Žena v bílém tričku a černé sukni na tenisovém kurtě.	1.4
748	Lyžař padá do sněhu.	Lyžař padá obličejem do sněhu.	4.0
749	Pes s červenou hračkou v tlamě.	Hnědý pes nese klacek v tlamě.	2.2
750	Dva hokejoví hráči zápasící na ledu.	Dva hokejoví hráči zápasí na ledu.	4.8
751	Tři lidé stojí ve venkovní, skleněné stavbě.	Dívka stojí vysoko na plošině překážkové dráhy.	0.4
752	Dva teriéři si hrají na dřevěné podlaze u nich doma.	Dvě štěňata si hrají s červenou gumovou hračkou na hřišti.	1.6
753	Skupina lidí na shromáždění mávající americkými vlajkami.	Dav lidí na venkovní události.	2.4
754	Dva psi běžící přes hřiště.	Dva psi si hrají na hřišti.	4.2
755	Muž v šedém obleku zamykající kolo.	Muž a žena stojící na ulici města.	0.4
756	Dva psi si hrají na dvorku.	Dva psi si hrají na trávě.	4.6
757	Chlapec na skateboardu sjíždí zábradlí u schodů pomalovaných graffiti.	Skateboardista skáče přes překážku před bílým domem.	2.8
