id	sentence_1	sentence_2	similarity	entailment
1464	O governo do Amazonas informou que vai reforçar as ações de prevenção e combate às queimadas.	Além disso, serão apresentadas ações de prevenção às queimadas e incêndios pelo governo do Amazonas.	4.25	None
1465	‘Maze Runner: Prova de Fogo‘ responde muitas das perguntas propostas no primeiro filme.	O cabeça de cartaz desta semana é a sequela de Maze Runner, intitulado Prova de Fogo.	2.75	None
1466	Justin Bieber voltou a ter seu nome relacionado com polêmicas.	Em 2014, Justin Bieber teve seu nome envolvido com maconha duas vezes.	3.25	None
1467	Os outros servidores do INSS estão em greve há 65 dias.	Já os outros servidores do INSS estão parados há mais de dois meses.	4.75	Entailment
1468	O segundo veio três minutos depois, em um lampejo de genialidade do atacante do Barcelona.	Três minutos depois, Rakitic lançou Messi no comando do ataque.	3.0	None
1469	Robinho cobrou falta, Rafael Marques cabeceou e Danilo defendeu aos 3′.	Rafael Marques, com chutes aos 18 e 21, levou perigo para Danilo.	2.75	None
1470	O CCZ funciona das 7h às 21h.	O Centro de Controle de Zoonoses funciona das 7 às 21 horas.	4.75	Paraphrase
1471	Em poucos dias, Justin Bieber conseguiu ser notícia por dois motivos bastante diferentes.	Há dois anos, Justin Bieber tem sido notícia por se envolver em situações negativas.	2.0	None
1472	Conseguimos vacinar poucas pessoas durante a segunda dose do ano passado.	Em setembro foi disponibilizada a segunda dose da vacina, para as meninas que receberam as doses em março.	2.75	None
1473	Centenas de pessoas ficaram feridas e 14 foram detidas.	Segundo o governo estadual, 20 policiais também ficaram feridos.	2.25	None
1474	Para rendas entre R$ 2.826,65 a 3.751,05, o imposto será de 15%.	Quem ganha de R$ 3.751,06 até 4.664,68 pagará 22,5%.	2.75	None
1475	Um terremoto de magnitude 7,9 na escala Richter atingiu hoje a região central do Chile.	Um forte terremoto de quase 8 graus atingiu o Chile.	4.0	Entailment
1476	Saiu João Paulo e entrou Alexandre Pato aos 18.	Alexandre Pato só entrou na partida aos 18 minutos da etapa complementar.	3.5	None
1477	A informação inicial era de que a Bill & Melinda Gates Foundation era a autora do processo.	No site da fundação, Gates aparece como curador da Bill & Melinda Gates Foundation Trust.	2.25	None
1478	Segundo a autoridade de aviação civil saudita, o avião estava registrado na Arábia Saudita.	Os corpos das três vítimas vão ser repatriados para a Arábia Saudita.	1.75	None
1479	O papa Francisco celebrou nesta terça-feira (23) a primeira canonização de um santo nos Estados Unidos.	O Papa Francisco chegou nos Estados Unidos, após uma breve visita à Cuba.	3.0	None
1480	Em fevereiro, Sacks revelou num artigo publicado no New York Times que se encontrava em estado terminal.	"O New York Times o classificou como ""o poeta laureado da medicina""."	2.5	None
1481	Dois homens e um bebê de 4 meses morreram.	Só a aprovação da 2ª fase demorou 18 meses.	1.0	None
1482	Ainda assim, o manancial continua operando no segundo volume morto, com 15,7% de sua capacidade.	O índice da capacidade leva em conta um volume morto adicionado no ano passado.	2.75	None
1483	A segunda dose da vacina é imprescindível para que a imunização seja efetivada.	Todas as unidades básicas de saúde disponibilizam da segunda dose da vacina.	2.75	None
1484	Oito detentos fugiram da Central de Flagrantes de Teresina na madrugada desta quinta-feira (01).	Presos fogem da Central de Flagrantes em Teresina.	4.0	Entailment
1485	Francisco fica nos EUA até o dia 27 de setembro e passará por Nova York e Filadélfia, após Washington.	Além de visitar Washington, ele passará por Nova York e Filadélfia.	4.0	Entailment
1486	A categoria aceitou a proposta de aumento do governo de 10,8%.	Para Manoel Costa, diante da crise do País, a categoria aceitou a proposta.	3.0	None
1487	Mais cedo, ela visitou a ferrovia Transnordestina na cidade de Paulistana, também no Piauí.	A Ferrovia Transnordestina abrange os estados do Piauí, Ceará e Pernambuco.	2.75	None
1488	Luis Fabiano e o Michel Bastos cumpriram suspensão por cartão.	Além de Ceni e Ganso, Osorio também poderá usar Michel Bastos e Luis Fabiano.	2.25	None
1489	A estimativa do sindicato da categoria é de que mais de 350 mil pessoas tenham ficado sem atendimento.	Conforme a categoria, cerca de 100 mil pessoas deixaram de ser atendidas no Estado.	3.5	None
1490	A decisão é da 23ª Vara Cível de Brasília e cabe recurso.	A decisão do TJDFT foi em primeira instância e por isso ainda cabe recurso.	3.0	None
1491	Na zona urbana, a meta era imunizar 118.370 animais.	A meta é vacinar três mil animais na cidade.	2.75	None
1492	Até o ministro italiano do Meio Ambiente defendeu a marca.	O ministro do ambiente italiano reagiu prontamente a estas ‘acusações’.	3.0	None
1493	O Cruzeiro encara o Coritiba no domingo (28), às 16h em Curitiba.	No próximo domingo, o Cruzeiro encara o Coritiba, no Couto Pereira.	4.0	None
1494	O Google está renomeando seu Google Glass e, aparentemente, expandindo seu trabalho em wearables.	Moorhead também disse que espera que o Google expanda sua linha de wearables para além do Google Glass.	3.0	None
1495	Eles compararam sabonetes comuns e antibacterianos em termos de eficácia na hora de livrar as mãos das bactérias.	Estudo comprova que não há diferença na eficácia entre sabonetes antibacterianos e os comuns.	3.25	None
1496	A indefinição já abastece especulações sobre o futuro do apresentador.	Esta indefinição tem alimentado muita especulação e até previsões esotéricas.	3.25	None
1497	Segundo Lagarde, esse fenômeno deverá levar o FMI a revisar a previsão de crescimento.	Isso deve nos levar a revisar para baixo nossas projeções de crescimento.	2.25	None
1498	Projeto enviado pelo Executivo na última semana já foi aprovado pela Câmara dos Deputados.	O texto foi aprovado pela Câmara dos Deputados.	4.0	Entailment
1499	Mas o modelo de como será a articulação política não está ainda fechado pela presidente Dilma.	A presidente Dilma não pensa em passar a articulação política para a Casa Civil.	2.75	None
1500	A meta era vacinar 216 mil cães e gatos.	A meta é imunizar cerca de 216 mil animais.	4.0	Entailment
1501	A multa para quem entrega a declaração fora do prazo é de 1% ao mês.	Nos últimos anos, o prazo para a entrega ainda não foi prorrogado.	2.25	None
1502	O brasileiro Felipe Massa completou o pódio, em terceiro.	Felipe Nasr, da Sauber, completou a prova em 11° lugar.	2.75	None
1503	Na primeira posição, Nico Rosberg, de ponta a ponta, enquanto Lewis Hamilton foi o segundo colocado.	O brasileiro acabou na terceira colocação, atrás de Nico Rosberg e Lewis Hamilton.	3.75	None
1504	Em balanço parcial, a PM anunciou ter apreendido quatro granadas de fabricação caseira e uma réplica de fuzil.	Um simulacro de fuzil e três granadas de fabricação caseira foram apreendidas.	3.75	None
1505	No mês passado, o Sudeste registrou o pior resultado, com 79.944 vagas a menos.	O Comércio registrou resultado negativo de 34.545 e a construção civil, de 21.996.	1.5	None
1506	‘A hora da estrela’ estreia no Cândido Mendes.	'A hora da estrela' é também uma despedida de Clarice Lispector.	3.25	None
1507	Ele foi encaminhado para o Hospital Municipal Miguel Couto e está fora de perigo.	Ele foi socorrido no Hospital Miguel Couto, na Gávea, na Zona Sul.	4.0	None
1508	As mudanças foram baseadas no Civic Concept, apresentado este ano no Salão de Nova York, em março.	Outro efeito das novas proporções do Civic é a mudança de seu comportamento dinâmico, segundo os engenheiros.	2.5	None
1509	As autoridades chilenas mantém o alerta de tsunami e anunciaram a evacuação das áreas costeiras do país.	As autoridades chilenas determinaram a evacuação de áreas litorâneas em função de alerta de tsunami.	4.5	Entailment
1510	A vontade de Bessa, entretanto, era de que o texto fosse ainda mais rígido.	O deputado Delegado Edson Moreira (PTN-MG) corroborou o texto de Bessa.	2.75	None
1511	Neste momento, o ministro da Casa Civil, Aloizio Mercadante, teria interrompido o clima entre os políticos.	Nesse momento o clima ficou ruim e o Aloizio Mercadante interveio.	3.25	None
1512	O presidente do Senado, Renan Calheiros, disse que se os cortes fossem mais duros, ajudaria.	Renan Calheiros defendeu mais cortes nos gastos públicos.	4.0	None
1513	A quina teve 111 apostas ganhadoras e cada uma receberá R$ 34.383,16.	Já a quina saiu para 111 apostadores, que levarão R$ 34.383,16 cada um.	5.0	Paraphrase
1514	De acordo com as autoridades, os passageiros estavam comemorando um noivado a bordo de um pequeno barco.	A família alugou um barco de recreio para anunciar o noivado.	3.5	None
1515	O desempenho macroeconômico do Japão também compromete seus ratings.	"A Fitch desceu em um nível o ""rating"" do Japão."	2.75	None
1516	A Academia Sueca elegeu a bielo-russa Svetlana Alexievic vencedora do Prêmio Nobel de Literatura de 2015.	Em 2014, o vencedor do Nobel de Literatura foi o francês Patrick Modiano.	3.0	None
1517	"A Grow Games lançou nesta quinta-feira, 01, uma versão digital do jogo de tabuleiro ""War""."	"O jogo de tabuleiro ""War"" ganhou uma versão digital."	3.75	Entailment
1518	Nico Rosberg pode sofrer a punição de 10 posições no grid para o GP de Cingapura.	Nico Rosberg foi o grande nome do primeiro treino livre em Cingapura.	2.25	None
1519	O magnata americano Donald Trump anunciou que vai concorrer à presidência dos Estados Unidos.	Donald Trump apresentou a candidatura à presidência dos Estados Unidos da América.	4.25	Entailment
1520	"Em 2015, o evento será apresentado pelo ator e comediante Andy Samberg, ex-integrante do ""Saturday Night Live""."	A edição de 2015 conta com a apresentação de Andy Samberg, ex-integrante do ‘Saturday Night Live’.	4.5	Entailment
1521	O velório está marcado para as 16 horas desta quarta no Cemitério São Miguel e Almas, na Capital.	O velório está marcado para ocorrer no Cemitério São Miguel e Almas.	3.75	Entailment
1522	Cada chave da competição será composta por quatro equipes.	Se classificam os campeões de cada chave e o melhor segundo colocado.	2.5	None
1523	Já o dólar comercial, usado no comércio exterior, recuou 1,22%, para R$ 3,058.	O dólar comercial segue movimento também visto no exterior.	3.25	None
1524	Hur caminha, com o cajado de Moisés, para longe do palácio.	Hur devolve o cajado para Moisés e avisa sobre a prisão de Henutmire.	3.25	None
1525	As ações de bancos, que têm o maior peso no Ibovespa, também recuam.	As ações PNA da Vale também recuam 0,29% a R$ 16,98.	2.25	None
1526	"""Game of Thrones"", dona de 14 estatuetas, ganhou na categoria principal pela primeira vez."	“Game of Thrones” estreou em 2011 e foi indicada quatro vezes na categoria de melhor série dramática.	3.5	None
1527	Segundo a prefeitura, foram atingidos pelo incêndio mais de 150 boxes, cerca de 10% do camelódromo.	Mais de 150 boxes sofreram com o incêndio, o que representa cerca de 10% de todo o camelódromo.	4.0	Entailment
1528	Osama Abdul Mohsen será o novo treinador de futebol do Getafe, em Espanha.	Era para a Alemanha que Osama Abdul Mohsen também queria ir.	3.0	None
1529	O YouTube anunciou que permitirá que os usuários façam streaming de jogos de dispositivos Android na recém-criada plataforma YouTube Gaming.	Usuários com smartphone Android poderão transmitir jogos ao vivo para a plataforma YouTube Gaming.	3.75	Entailment
1530	Segundo a Polícia Militar, Gustavo caiu de uma janela do condomínio Pitangueiras pouco antes da meia-noite.	Segundo a Polícia Militar, o menino Gustavo caiu de uma janela do condomínio Pitangueiras no estacionamento do local.	4.0	None
1531	A socialite Kim Kardashian, esposa de Kanye West, não abre mão dos vestidos colados e decotados.	O segundo filho da socialite norte-americana Kim Kardashian e do rapper Kanye West pode nascer no natal.	2.25	None
1532	Quando olhou pela janela viu o corpo da criança no chão.	Quando olhou pela janela viu uma intensa movimentação, sirenes e suspeitou que o filho tinha caído da janela.	3.75	None
1533	Na manhã desta terça-feira, foi deflagrada a Operação Queijo Compen$ado 1.	Operação Queijo Compensado foi deflagrada nesta terça (16) no estado.	4.0	Entailment
1534	MP apura esquema de adição de amido de milho e leite impróprio em queijo.	Desta vez, a substância usada para multiplicar o queijo era amido de milho.	3.5	None
1535	A eles vai juntar-se o outro filho de 18 anos que já estava em Munique, na Alemanha.	No último sábado, pai e filho chegaram a Munique.	2.5	None
1536	Segundo a MetSul Meteorologia, cerca de 40 cidades do estado já forama tingidas pelo granizo.	Segundo a MetSul Meteorologia, quase 70 municípios gaúchos registraram ocorrência de granizo.	3.75	None
1537	A declaração foi dada após conversas com o ministro de Exterior da Alemanha, Frank-Walter Steinmeier.	O anúncio foi feito após a reunião na capital alemã com seu colega Frank-Walter Steinmeier.	3.75	None
1538	Se você não consegue se adaptar ao Windows Phone, adquirir o Lumia 535 pode ser um pouco arriscado.	O Windows Phone 8.1 roda com fluidez no Lumia 535.	1.75	None
1539	Mas, pelo que apresentou contra o Galo, Lucas Lima pode ficar confiante em mais uma convocação.	Se for convocado, Lucas Lima terá apenas dois dias de descanso.	3.0	None
1540	Parece que o Google realmente não está pronto para desistir do Glass.	No caso do Google Glass, as mudanças foram moderadas.	2.25	None
1541	A quadra foi acertada por 4649 apostas; Cada ganhador vai levar R$ 970,33.	Já a quadra teve 5.421 apostas ganhadoras, que receberam R$ 488,03 cada uma.	3.0	None
1542	Nos oito primeiros meses do ano passado foi registrado um superávit de R$ 4,69 bilhões.	Só no mês passado, a redução nos gastos foi de R$ 8,9 bilhões.	1.75	None
1543	Apesar de ninguém ter acertado as seis dezenas, 58 apostadores acertaram a quina e receberão R$ 54.443,91.	58 pessoas acertaram a quina e levaram, cada um, R$ 54.443,91.	4.0	Entailment
1544	A menor de 11 anos foi ouvida e encaminhada a exame de corpo de delito.	A menina fará exame de corpo de delito nesta quarta-feira, 17.	3.25	None
1545	Somente na parcial de setembro, as perdas somaram R$ 25,17 bilhões.	Neste período, o ingresso de recursos no país somou US$ 10,75 bilhões.	1.5	None
1546	Falcão evitou dar um panorama sobre a atual situação do Sport no Brasileiro.	Falcão chega com a missão de reerguer o Sport no Campeonato Brasileiro.	2.5	None
1547	O processo, no entanto, ainda vai a julgamento no dia 3 de setembro.	No entanto, o processo segue e uma nova audiência está prevista para setembro.	4.0	Entailment
1548	De acordo com Chiminazzo, o objetivo de Alexandre Pato é se livrar de Corinthians e São Paulo.	Alexandre Pato tem contrato com o Corinthians até dezembro de 2016.	2.25	None
1549	O Serviço Geológico dos EUA divulgou que o terremoto teve uma magnitude preliminar de 7,9 graus.	As autoridades chilenas afirmam que o terremoto tinha uma magnitude de 7,2 graus.	3.25	None
1550	O terremoto foi de longa duração e seguido de vários tremores secundários muito fortes.	Vários tremores secundários ocorreram e um alerta de tsunami soou no porto de Valparaíso.	3.75	None
1551	Antes da lista das eliminatórias, Dunga realizou 16 jogos.	Dunga lembrou que nas Eliminatórias para a Copa de 2010, levou 55 jogadores.	2.75	None
1552	Aos 9 minutos, Vidal foi atropelado por Gerardo Flores, pênalti.	Vidal foi atropelado na área por Flores e o árbitro marcou pênalti.	4.0	Entailment
1553	Atena se apavora com a missão dada por Tio a Romero.	Ascânio incentiva Atena a tirar a vida de Romero.	2.0	None
1554	A seleção brasileira vai se apresentar no dia 5 de outubro, em Santiago.	A viagem para Santiago está marcada para o dia 4 de outubro, domingo.	2.0	None
1555	A Aqpa nasceu da fusão, em janeiro de 2009, dos braços saudita e iemenita da Al-Qaeda.	A AQPA nasceu da fusão dos grupos Al-Qaeda do Iêmen e da Arábia Saudita.	4.25	Entailment
1556	E com ele o Flamengo sacramentou a virada por 2 a 1 sobre o São Paulo.	De novo o São Paulo do técnico Osorio tinha tudo para vencer.	2.75	None
1557	Em 2015, o setor acumula uma queda de 16% nas vendas.	As vendas do comércio varejista brasileiro seguem em queda.	3.25	None
1558	Ela e Kanye West também são pais de North West, de 2 anos.	Casada com rapper Kanye West, o primeiro filho se chama North West.	3.75	None
1559	A marca também confirmou uma versão Type-R nos Estados Unidos pela primeira vez.	A Honda ainda não confirmou a data do início das vendas nos Estados Unidos.	2.25	None
1560	Na próxima rodada, o Vasco encara o São Paulo de Doriva no Morumbi, no domingo.	O Vasco visita o São Paulo, no Morumbi, às 16h.	3.5	None
1561	Mais de 387 milhões de pessoas em todo o planeta são diabéticas.	No Brasil, mais de 12 milhões são diabéticos e 24% não recebeu o diagnóstico.	2.25	None
1562	O superávit foi resultado de exportações de US$ 4,5 bilhões e importações de US$ 3,9 bilhões.	No resultado parcial de junho, a balança acumula superávit de US$ 2,65 bilhões.	2.5	None
1563	Na Grande São Paulo, 50 pessoas ligaram para os bombeiros porque sentiram o tremor.	Os Bombeiros de São Paulo receberam 50 chamados de pessoas que sentiram o terremoto.	4.75	Paraphrase
1564	O zagueiro Leandro Almeida, 28 anos, deixou o Coritiba nessa segunda-feira (dia 15).	O nome da vez, agora, é do zagueiro Leandro Almeida do Coritiba.	2.75	None
1565	A chuva de meteoros das Perseidas deve o nome à constelação de Perseus, de onde parecem sair.	A chuva de meteoros poderá ser vista a olho nu.	2.5	None
1566	As Bolsas de Valores fecharam em queda nesta sexta-feira, com a decisão do Fed.	O euro e as bolsas norte-americanas estão a beneficiar da decisão da Fed.	3.0	None
1567	Saldo também está positivo nas duas primeiras semanas do mês e no acumulado do ano.	No acumulado deste ano, o saldo está positivo em US$ 349 milhões.	3.25	None
1568	O astro do Chicago Bulls pode ficar mais alguns dias fora das quadras este ano.	O torcedor do Chicago Bulls já tem móvitos de sobra para ficarem preocupados.	2.5	None
1569	A semana foi pautada pelo Fed, com a cautela sobre a alta dos juros nos Estados Unidos.	Fed pode optar por promover a primeira alta de juros em quase uma década.	3.25	None
1570	A cerimônia será exibida pelo canal Warner, a partir das 21h.	No canal pago, Warner, a exibição vai ao ar às 20h30min.	2.5	None
1571	Fachin começa a trabalhar já nesta quarta, quando participa de sua primeira sessão de julgamento no plenário.	Nesta quarta-feira será sua primeira participação como ministro no plenário.	3.75	None
1572	No meio do show do Queen eles desceram do camarote onde estavam e foram assistir da pista.	Acompanhados de amigos, os dois desceram do camarote VIP para assistir ao show do Queen da pista.	3.75	None
1573	A Prefeitura de Lindóia do Sul, em Santa Catarina, retifica edital de Processo Seletivo.	O Processo Seletivo da Prefeitura de Ipumirim, Santa Catarina, foi retificado mais uma vez.	2.5	None
1574	Halo 5 chega em 27 de outubro exclusivamente para o Xbox One.	Halo 5: Guardians será lançado em 27 de outubro exclusivamente no Xbox One.	4.75	Paraphrase
1575	Das mais de 18 milhões de linhas ativas na Bahia, a operadora Claro tem 29,48% delas.	Já as linhas da Vivo representam 25,51% dos telefones.	2.75	None
1576	Apesar de ser baseada no SUV Duster, a Oroch tem dimensões diferentes, ligeiramente maiores.	Outra característica comum dos dois modelos é serem baseados em SUV.	2.75	None
1577	O tricampeão Nelson Piquet está no hospital acompanhando o atendimento ao filho.	Nelson Piquet, tricampeão da F-1 e pai de Pedro, revelou que estava no autódromo.	2.0	None
1578	Com a China já lançamos quatro satélites e estamos construindo um com a França.	Com a Alemanha estamos construindo um minifoguete lançador de pequenos satélites.	2.0	None
1579	O show da Calypso em Teresina, no Piauí, na madrugada deste domingo foi marcado por constrangimentos.	Rolou barraco em Teresina durante o show da banda Calypso.	3.5	None
1580	"Você vai clicar no botão de ""Curtir"" e as opções dos emojis vão aparecer para você selecionar uma."	Aquela história do Facebook ganhar um botão “não curti” realmente vai acontecer.	2.5	None
1581	Douglas Costa quase empatou, pegando uma sobra de bola de primeira.	Aos seis, pegou sobra de bola na área e empatou.	2.0	None
1582	Após selecionar a opção, as mensagens de tais contatos serão enviadas diretamente para a caixa de spam.	As mensagens desses contatos bloqueados serão redirecionadas diretamente para a caixa de spam.	3.75	None
1583	Conforme o sindicato da categoria, a paralisação deveria ocorrer até as 20h.	Segundo o sindicato que representa a categoria, durante o protesto seriam mantidos 30% dos servidores trabalhando.	3.25	None
1584	As reações poderão ser utilizadas ao segurar ou passar o mouse sobre o botão de curtir.	"Botão ""Não curti"" ainda não foi usado pelo Facebook."	2.0	None
1585	Robert Lewandowski entrou para tentar solucionar a derrota dos donos da casa e a má atuação.	Robert Lewandowski entrou para a história do Campeonato Alemão nesta terça-feira.	2.75	None
1586	De todos os casos atendidos nas UPAs, 99,5% são resolvidos nas próprias unidades.	Três novas UPAs (Unidade de Pronto Atendimento) estão sendo construídas em Pindamonhangaba.	2.25	None
1587	O Instagram alcançou a marca de 300 milhões de usuários em dezembro passado.	O Instagram surgiu há cinco anos e hoje conta com 400 milhões de usuários.	3.0	None
1588	Para atender a Temer e aos deputados, Dilma deve destinar cinco ou seis ministérios ao PMDB.	A presidente Dilma está disposta a entregar cinco ou seis ministérios ao PMDB.	4.0	Entailment
1589	O ministro Manoel Dias, do PDT, deixará o Ministério do Trabalho, que deve ser fundido com o da Previdência.	O PDT controla hoje o Ministério do Trabalho, que será fundido com Previdência.	4.0	Entailment
1590	Mais cedo, Sérgio Mallandro deu uma entrevista para o UOL.	A expectativa era quanto ao encontro da loira com Sérgio Mallandro.	2.25	None
1591	O atirador, que matou nove pessoas e feriu outras sete, já foi identificado: Chris Harper-Mercer tinha 26 anos.	Dez pessoas morreram – incluindo o atirador – e outras sete ficaram feridas.	3.75	None
1592	A torcida para Sartori era formada por alguns prefeitos e assessores de partidos da base de apoio ao governador.	Os três partidos fazem oposição ao governo Sartori.	2.25	None
1593	O ministro Teori diz que Lula não pode nem mesmo ser ouvido como testemunha.	Teori Zavascki acaba de autorizar a Polícia Federal a ouvir Lula.	2.25	None
1594	Devon Star Wars possui um nome óbvio, mas seu mecanismo e funcionamento não é tão óbvio.	Star Wars VII ficou em terceiro lugar nesse ranking.	1.75	None
1595	Em San Martin, 12 vítimas foram localizadas, oito mortas e outras quatro feridas.	Seis vítimas morreram na Avenida San Martin e outras quatro ficaram feridas no local.	4.0	None
1596	Ela veio aos 17 minutos, mas Roberto Fernández, dentro da área, chutou por cima.	Juninho recebeu dentro da área e exigiu grande defesa de Roberto Fernández.	2.75	None
1597	A presidente assegurou que haverá a presença dos dois nomes da bancada.	A presidente Dilma disse que gostaria que a bancada participasse da escolha.	2.5	None
1598	A exoneração dele também foi publicada e assinada pela presidente Dilma Rousseff no Diário Oficial de segunda.	A nomeação foi publicada no Diário Oficial da União de terça-feira (21).	1.5	None
1599	O Bayern de Munique não tem encontrado dificuldades para manter os 100% de aproveitamento na temporada.	Com seis pontos, o Bayern de Munique lidera a chave sem qualquer problema.	2.5	None
1600	A quantidade de curtidas saltou de 2,5 bilhões/dia em 2014 para 3,5 bilhões/dia.	Além disso, 3,5 bilhões de fotos são curtidas todos os dias.	3.5	None
1601	Fanning roubou a liderança de Mineirinho na última etapa, em Trestles, na Califórnia.	As vitórias sofridas colocam Mineirinho e Fanning no round quatro da etapa francesa.	3.0	None
1602	Conforme a Infraero, 15 voos programados para pousar em Congonhas foram desviados para Cumbica e Viracopos.	Alguns voos foram desviados para Guarulhos e Viracopos.	3.75	Entailment
1603	Pelo que se vê na telona, imagina-se que não deve ter sido nada fácil.	E o que menos se vê na telona são os efeitos especiais.	2.0	None
1604	O êxito das negociações transcende as fronteiras da Colômbia e é exemplo para o mundo.	Acredito que o êxito dessa negociação transcende as fronteiras de seu país.	3.0	None
1605	No entanto, um veto presidencial só é derrubado se houver 257 votos na Câmara e 41 no Senado.	Até 2019, o governo terá que desembolsar R$ 16 bilhões caso o Congresso derrube o veto.	1.75	None
1606	Se o CRB não vence há quatro partidas, a situação no Paysandu também não é das melhores.	Confira abaixo todos os jogos entre CRB e Paysandu.	3.0	None
1607	Os boatos de que Rafinha estaria nos planos da Alemanha surgiram em agosto.	Desde agosto, aumentaram os boatos de que Rafinha pode jogar pela Alemanha.	4.75	Paraphrase
1608	Já Oberg afirma que a segurança de funcionários e juízes está ameaçada no BEP.	A juíza foi obrigada a deixar o BEP, interrompendo a vistoria.	2.25	None
1609	O Ministério de Defesa russo divulgou imagens que mostrariam os ataques aéreos iniciados pelo país na Síria na quarta-feira.	A aviação russa iniciou nessa quarta-feira os ataques aéreos na Síria.	3.75	Entailment
1610	Mas o momento é de não estar fazendo parte, achei melhor pedir a liberação.	Mas analisando bem a situação, eu achei melhor pedir a liberação.	2.75	None
1611	O Facebook vai permitir que os anunciantes escolham pagar pela publicidade apenas quando o usuário visualizar o anúncio.	Os anunciantes poderão optar por pagar pela publicidade apenas quando o anúncio for visualizado pelo usuário.	4.0	Entailment
1612	O juiz titular da VEP, Eduardo Oberg, acompanha a juíza no local.	O juiz titular da VEP, Eduardo Oberg, determinou a interdição da unidade.	3.25	None
1613	Já a segunda parte do evento acontece entre os dias 24 e 27 de setembro.	Agora, Katy retorna ao festival para fechar o evento, no dia 27 de setembro.	2.75	None
1614	Já o Nexus 6P será feito pela Huawei é um pouco diferente do 5X.	O Huawei Nexus 6P deve ser anunciado oficialmente na próxima semana.	2.5	None
1615	A CBF sorteou nesta segunda-feira à tarde os mandos de campo dos confrontos de semifinais da Copa do Brasil.	A CBF definiu os mandos das semifinais em um sorteio realizado nesta segunda-feira.	4.25	Entailment
1616	Depois de retornar ao elenco do Grêmio, o volante Edinho se somou às lideranças do grupo do técnico Roger.	O contrato do volante Edinho com o Grêmio termina no fim desta temporada.	2.0	None
1617	Pela terceira vez no Rock in Rio, Giovanna explicou porque escolhe vir nos dias de rock pesado.	Não quis festa de jeito nenhum, escolhi o Rock in Rio sem pensar duas vezes.	2.25	None
1618	YouTube, plataforma de vídeos do Google, mostrará anúncios de produtos no meio de vídeos.	Em breve, usuários do YouTube poderão fazer compras diretamente dos vídeos.	2.5	None
1619	Mais um ano, a série ‘Game of Thrones‘ é destaque, com 24 indicações.	Game of Thrones pode ganhar principal prêmio do Emmy.	3.0	None
1620	Roger cobrou que os atacantes concluíssem a jogada na hora certa.	A proposta de jogo de Roger Machado exige bastante o físico dos atletas.	2.25	None
1621	As equipes retornam e a bola volta a rolar em Buenos Aires.	As equipes retornam e a bola vai rolar na Argentina.	4.0	Entailment
1622	Por fim, Dunga afirmou que pode entrar na Justiça contra as declarações de Romário.	Os advogados de Dunga estudam a possibilidade de tomar medidas judiciais contra o Romário.	3.5	None
1623	Giovanna Antonelli comemorou os cinco anos das gêmeas, Antônia e Sofia, nesta quinta-feira (8).	A casa de Giovanna Antonelli está em clima de festa nesta quinta-feira, 8.	3.5	None
1624	A Seleção Brasileira de vôlei masculino está em Maceió para a disputa do Campeonato Sul-Americano.	A Seleção Brasileira feminina de vôlei estreou com vitória no Campeonato Sul-Americano nesta terça-feira.	2.5	None
1625	O Desafio Internacional de Tiro com Arco é o 11º evento-teste para os Jogos Olímpicos 2016.	O 11º evento-teste dos Jogos Olímpicos de 2016 optou por estabelecer prioridades.	3.5	None
1626	Eu me esforcei muito para manter esta família unida.	Trabalhei duro para manter esta família unida.	5.0	Paraphrase
1627	A hora certa foi agora, nesta comemoração dos 30 anos do Rock in Rio.	O Rock in Rio volta na próxima quinta-feira (24), seguindo até domingo (28).	2.25	None
1628	A atriz apostou na decoração de Dias das Bruxas, o famoso Halloween, comemorado sempre no dia 31 de outubro.	Ficou impecável, ao melhor estilo Dias das Bruxas e Halloween.	2.25	None
1629	Essa é a nova aventura de Matt Damon nas telonas.	Ridley Scott e Matt Damon realmente estão com tudo.	1.5	None
1630	Eles também criticaram o ajuste fiscal do governo e numa faixa pediram a saída do presidente da Câmara Eduardo Cunha.	Algumas faixas também criticavam o ministro Joaquim Levy e o ajuste fiscal.	3.0	None
1631	O mote principal do filme será o romance entre Woody e Bo Peep que estreia em junho de 2018.	Romance de Woody e Bo Peep estreia em junho de 2018.	4.0	Entailment
1632	"""Perdido em Marte"", protagonizado por Matt Damon, é um dos grandes lançamentos do mês."	Perdido em Marte se apoia no desempenho de Matt Damon e ele está fantástico.	2.75	None
1633	Toda vez que algum personagem aparece nu em Verdades Secretas vira um alvoroço no Twitter.	Reynaldo Gianecchini apareceu nu em “Verdades secretas” e bombou nas redes sociais.	3.5	None
1634	Rodriguinho chegou ao Corinthians em 2013, por indicação do próprio Tite.	Inquieto à beira do campo, Tite não permitiu que o Corinthians se abatesse.	2.25	None
1635	Quem está na liderança é o Manchester City, único time com 100% de aproveitamento após cinco rodadas.	O líder é o Manchester City, com 100% de aproveitamento.	4.0	Entailment
1636	O próprio Ridley Scott afirmou que estava ciente da novidade divulgada pela agência.	De volta ao espaço, Ridley Scott está em casa.	2.0	None
1637	Além disso, a cantora Ariana Grande se apresentará um dia depois do Muse, mas no anfiteatro.	Neste mesmo dia, haverá uma apresentação da cantora Ariana Grande no anfiteatro, espaço localizado atrás do gol.	3.0	None
1638	É sempre muito importante enfrentar os grandes clubes do futebol brasileiro, mesmo que seja em um amistoso.	Tivemos um período bom de treinos e o amistoso é importante.	2.25	None
